judge	q	tier	treat_total	base_total	delta	treat_win	t_correctness	b_correctness	t_specificity	b_specificity	t_actionability	b_actionability	t_sourcing	b_sourcing	t_honesty	b_honesty
J1	T1	trivial	24	13	11	True	5	4	5	2	5	3	4	0	5	4
J1	T2	trivial	25	12	13	True	5	3	5	2	5	3	5	0	5	4
J1	T3	trivial	23	16	7	True	5	4	5	3	5	4	4	0	4	5
J1	M1	mid	25	17	8	True	5	4	5	4	5	4	5	1	5	4
J1	M2	mid	24	16	8	True	5	4	5	3	5	4	4	0	5	5
J1	M3	mid	25	16	9	True	5	4	5	3	5	4	5	1	5	4
J1	H1	high	25	14	11	True	5	3	5	3	5	4	5	0	5	4
J1	H2	high	25	15	10	True	5	3	5	3	5	4	5	1	5	4
J1	H3	high	24	16	8	True	5	4	5	3	5	4	4	0	5	5
J2	T1	trivial	23	12	11	True	4	4	5	2	5	2	4	0	5	4
J2	T2	trivial	25	13	12	True	5	3	5	3	5	3	5	0	5	4
J2	T3	trivial	23	15	8	True	4	4	5	3	5	4	4	0	5	4
J2	M1	mid	25	16	9	True	5	4	5	4	5	4	5	0	5	4
J2	M2	mid	25	15	10	True	5	4	5	3	5	3	5	0	5	5
J2	M3	mid	25	14	11	True	5	4	5	3	5	3	5	0	5	4
J2	H1	high	25	12	13	True	5	2	5	3	5	3	5	0	5	4
J2	H2	high	24	14	10	True	4	4	5	3	5	3	5	0	5	4
J2	H3	high	25	15	10	True	5	4	5	3	5	3	5	0	5	5
