round	judge	q	tier	delta	outcome	d_correctness	d_specificity	d_actionability	d_sourcing	d_honesty
R1	J1	T1	trivial	11	win	1	3	2	4	1
R1	J1	T2	trivial	13	win	2	3	2	5	1
R1	J1	T3	trivial	7	win	1	2	1	4	-1
R1	J1	M1	mid	8	win	1	1	1	4	1
R1	J1	M2	mid	8	win	1	2	1	4	0
R1	J1	M3	mid	9	win	1	2	1	4	1
R1	J1	H1	high	11	win	2	2	1	5	1
R1	J1	H2	high	10	win	2	2	1	4	1
R1	J1	H3	high	8	win	1	2	1	4	0
R1	J2	T1	trivial	11	win	0	3	3	4	1
R1	J2	T2	trivial	12	win	2	2	2	5	1
R1	J2	T3	trivial	8	win	0	2	1	4	1
R1	J2	M1	mid	9	win	1	1	1	5	1
R1	J2	M2	mid	10	win	1	2	2	5	0
R1	J2	M3	mid	11	win	1	2	2	5	1
R1	J2	H1	high	13	win	3	2	2	5	1
R1	J2	H2	high	10	win	0	2	2	5	1
R1	J2	H3	high	10	win	1	2	2	5	0
R2	J1	T1	trivial	-1	tie	0	1	-1	0	-1
R2	J1	T2	trivial	0	tie	0	1	1	-1	-1
R2	J1	T3	trivial	1	tie	0	1	1	0	-1
R2	J1	M1	mid	0	tie	0	1	0	0	-1
R2	J1	M2	mid	2	win	1	1	1	-1	0
R2	J1	M3	mid	3	win	1	1	1	0	0
R2	J1	H1	high	1	tie	1	1	0	-1	0
R2	J1	H2	high	-2	loss	0	0	-1	-1	0
R2	J1	H3	high	2	win	1	1	1	-1	0
R2	J2	T1	trivial	1	tie	-1	1	0	1	0
R2	J2	T2	trivial	-1	tie	-1	0	1	0	-1
R2	J2	T3	trivial	0	tie	0	1	1	0	-2
R2	J2	M1	mid	2	win	0	0	1	1	0
R2	J2	M2	mid	4	win	1	1	1	0	1
R2	J2	M3	mid	4	win	2	1	0	0	1
R2	J2	H1	high	4	win	1	1	1	0	1
R2	J2	H2	high	-1	tie	0	0	0	-1	0
R2	J2	H3	high	3	win	1	1	1	0	0
